,الشركة,السهم,القطاع,آخر سعر,نسبة التغيير,آخر تحديث
0,سامبا,1090,البنوك,29.15,-2.51%,06 أغسطس 2019
1,السعودي الفرنسي,1050,البنوك,36.3,-3.07%,06 أغسطس 2019
2,الأول,1040,البنوك,19.58,1.45%,13 يونيو 2019
3,الجزيرة,1020,البنوك,14.64,-0.95%,06 أغسطس 2019
4,الرياض,1010,البنوك,24.9,-0.80%,06 أغسطس 2019
5,ساب,1060,البنوك,35.3,-3.42%,06 أغسطس 2019
6,العربي,1080,البنوك,25.2,-0.79%,06 أغسطس 2019
7,الراجحي,1120,البنوك,66.3,-0.45%,06 أغسطس 2019
8,سيسكو,2190,النقل,15.42,0.78%,06 أغسطس 2019
9,المصافي,2030,الطاقة,38.15,1.19%,06 أغسطس 2019
10,زجاج,2150,المواد الأساسية,18,-0.66%,06 أغسطس 2019
11,نادك,6010,إنتاج الأغذية,24.36,0.58%,06 أغسطس 2019
12,جاكو,6020,إنتاج الأغذية,11.7,0.00%,06 أغسطس 2019
13,تبوك الزراعية,6040,إنتاج الأغذية,8.8,-0.57%,06 أغسطس 2019
14,دور,4010,الخدمات الإستهلاكية,18.16,-0.22%,06 أغسطس 2019
15,أميانتيت,2160,السلع الرأسمالية,6.07,4.66%,06 أغسطس 2019
16,أسمنت العربية,3010,المواد الأساسية,28.85,-3.03%,06 أغسطس 2019
17,أسمنت اليمامة,3020,المواد الأساسية,19.5,-0.21%,06 أغسطس 2019
18,اللجين,2170,المواد الأساسية,22.96,2.04%,06 أغسطس 2019
19,أسمنت السعودية,3030,المواد الأساسية,66.8,-4.44%,06 أغسطس 2019
20,أسمنت القصيم,3040,المواد الأساسية,51.8,0.19%,06 أغسطس 2019
21,أسمنت الجنوب,3050,المواد الأساسية,53.8,-2.71%,06 أغسطس 2019
22,أسمنت ينبع,3060,المواد الأساسية,33.6,1.05%,06 أغسطس 2019
23,أسمنت الشرقية,3080,المواد الأساسية,31.5,-0.63%,06 أغسطس 2019
24,أسمنت تبوك,3090,المواد الأساسية,13.84,-1.14%,06 أغسطس 2019
25,فيبكو,2180,المواد الأساسية,30.1,-1.31%,06 أغسطس 2019
26,سابك,2010,المواد الأساسية,102.2,0.20%,06 أغسطس 2019
27,سافكو,2020,المواد الأساسية,83.3,-2.12%,06 أغسطس 2019
28,أنابيب,2200,المواد الأساسية,10.14,2.01%,06 أغسطس 2019
29,الزامل للصناعة,2240,المواد الأساسية,16,-0.87%,06 أغسطس 2019
30,نماء للكيماويات,2210,المواد الأساسية,20.8,0.87%,06 أغسطس 2019
31,معدنية,2220,المواد الأساسية,15.02,0.67%,06 أغسطس 2019
32,جبسكو,2090,المواد الأساسية,11.62,-0.17%,06 أغسطس 2019
33,المجموعة السعودية,2250,المواد الأساسية,23.7,-2.15%,06 أغسطس 2019
34,الكيميائية,2230,الرعاية الصحية,32.45,1.57%,06 أغسطس 2019
35,الخزف السعودي,2040,السلع الرأسمالية,22.2,-0.36%,06 أغسطس 2019
36,مجموعة صافولا,2050,إنتاج الأغذية,31.25,-0.79%,06 أغسطس 2019
37,التصنيع,2060,المواد الأساسية,14.64,-0.81%,06 أغسطس 2019
38,الدوائية,2070,الادوية,26.15,1.75%,06 أغسطس 2019
39,الأحساء,2140,السلع الرأسمالية,10.36,-0.58%,06 أغسطس 2019
40,متطورة,2120,الإستثمار والتمويل,12.9,-0.77%,06 أغسطس 2019
41,الكابلات السعودية,2110,السلع الرأسمالية,33.2,-1.92%,06 أغسطس 2019
42,وفرة,2100,إنتاج الأغذية,11.52,-0.35%,06 أغسطس 2019
43,الغاز,2080,المرافق العامة,29.8,0.34%,06 أغسطس 2019
44,العقارية,4020,إدارة وتطوير العقارات,11.76,-0.34%,06 أغسطس 2019
45,البحري,4030,الطاقة,26.25,1.35%,06 أغسطس 2019
46,سابتكو,4040,النقل,14.14,2.02%,06 أغسطس 2019
47,ساسكو,4050,تجزئة السلع الكمالية,18.04,3.09%,06 أغسطس 2019
48,أنعام القابضة,4061,تجزئة الأغذية,8.74,-0.34%,06 أغسطس 2019
49,تهامة,4070,الإعلام والترفيه,37.25,-1.72%,06 أغسطس 2019
50,عسير,4080,الإستثمار والتمويل,9.21,0.11%,06 أغسطس 2019
51,طيبة,4090,إدارة وتطوير العقارات,28.5,-0.35%,06 أغسطس 2019
52,مكة,4100,إدارة وتطوير العقارات,77.8,-0.89%,06 أغسطس 2019
53,باتك,4110,النقل,30.55,-1.45%,06 أغسطس 2019
54,الباحة,4130,الإستثمار والتمويل,17.6,-1.12%,06 أغسطس 2019
55,صادرات,4140,السلع الرأسمالية,69,-2.13%,06 أغسطس 2019
56,التعمير,4150,إدارة وتطوير العقارات,15.1,0.53%,06 أغسطس 2019
57,ثمار,4160,تجزئة الأغذية,22.2,6.32%,06 أغسطس 2019
58,شمس,4170,الخدمات الإستهلاكية,25.85,1.57%,06 أغسطس 2019
59,مجموعة فتيحي,4180,السلع طويلة الاجل,11.5,-0.35%,06 أغسطس 2019
60,جرير,4190,تجزئة السلع الكمالية,166,0.48%,06 أغسطس 2019
61,كهرباء السعودية,5110,المرافق العامة,19.36,-1.12%,06 أغسطس 2019
62,الإتصالات,7010,الإتصالات,108.4,0.37%,06 أغسطس 2019
63,الأسماك,6050,إنتاج الأغذية,51,-0.59%,06 أغسطس 2019
64,الشرقية للتنمية,6060,إنتاج الأغذية,44,1.85%,06 أغسطس 2019
65,الجوف,6070,إنتاج الأغذية,22.44,0.00%,06 أغسطس 2019
